"期間別成果: 2026.06"

発生日,成果報酬,クリック数,売上件数,売上金額
date,rewards,clicks,sales,amount
2026-06-02,0,1,0,0
2026-06-04,0,3,0,0
2026-06-05,0,5,0,0
2026-06-06,0,2,0,0
2026-06-08,0,5,0,0
2026-06-09,0,6,0,0
2026-06-10,0,2,0,0
2026-06-12,0,5,0,0
2026-06-13,0,1,0,0
2026-06-15,0,5,0,0
2026-06-16,0,2,0,0
2026-06-17,367,0,1,36720
2026-06-18,0,1,0,0
2026-06-20,142,1,1,14220
2026-06-22,0,6,0,0
2026-06-23,0,2,0,0
2026-06-24,0,1,0,0
2026-06-27,0,1,0,0
2026-06-28,0,3,0,0
2026-06-29,0,1,0,0
